,id,parentId,name,displayName,country,countrySubDivisionCode,phone,website,street,city,postalCode,email,logoPath,logoUrl,coordinates
0,169485,169454,Precision Inc.,Precision Inc.,US,ID,208-529-0520,http://www.precision-performance.com,2199 N Woodruff,Idaho Falls,83401,marketing@tige.com,,,"[-112.040092, 43.493524]"
1,503626,267011,Precision Inc.,Precision Inc.,US,OH,208-529-0520,http://www.precision-performance.com,2199 N Woodruff,Idaho Falls,83401,marketing@tige.com,,,"[-112.040092, 43.493524]"
2,10326,,Fred's Marine Inc.,Fred's Marine Inc.,US,UT,801-593-8345,,1215 W. Hillfield Road,Layton,84041,76033887@v-sept.net,,https://www.fredsmarine.com/,"[-111.97105, 41.06022]"
3,284515,34627,Taylor's Boats - Kaysville,Taylor's Boats - Kaysville,US,UT,385-404-6999,http://www.taylorsboats.com,443 Deseret Drive,Kaysville,84037,sales@taylorsboats.com,,https://images.boatsgroup.com/images/1/upload/taylorsboats-logo.png,"[-111.938552, 41.035222]"
4,6614,,Marine Products,MARINE PRODUCTS PRO SHOP,US,UT,801-973-4017,http://www.marine-products.com/,949 W. 1700 S.,Salt Lake City,84104,randy@marine-products.com,,https://images.boatsgroup.com/images/1/upload/Marine+Products.png,"[-111.966967, 40.749482]"
5,372265,,Pinnacle Marine Service,Pinnacle Marine Service,US,UT,(801) 266-4421,https://pinnaclemarineservice.com/home,3651 Main Street,Salt Lake City,84115,jim@pinnaclemarineservice.com,,https://images.boatsgroup.com/images/1/upload/Pinnacle+Marine+Service.png,"[-111.892637, 40.714074]"
6,15656,,Executive Boat & Yacht Brokerage,Executive Boat & Yacht Brokerage,US,UT,801-288-0545,http://www.executiveboatandyacht.com/,3600 South Main Street,Salt Lake City,84115,kory2@executiveyacht.com,,http://images.boatsgroup.com/images/1/upload/ExecutiveBoatYacht2.jpg,"[-111.892637, 40.714074]"
7,146596,,Utah Water Sports LLC,Utah Water Sports LLC,US,UT,801-495-2400,https://utahwatersports.com/,11017 S Jordan Gtwy,South Jordan,84095,leads.140@threeclixdealers.com,,,"[-112.000214, 40.557414]"
8,34627,,Taylor's Boats,Taylor's Boats,US,UT,801-572-3999,http://www.taylorsboats.com/,13524 South 200 West,Draper,84020,sales@taylorsboats.com,,https://images.boatsgroup.com/images/1/upload/taylorsboats-logo.png,"[-111.863823, 40.524671]"
9,267043,267011,Germaine Marine - UT,Germaine Marine - UT,US,UT,801-225-9133,https://www.germainemarineutah.com,1073 S 630 E,American Fork,84003,marketing@tige.com,,,"[-111.795765, 40.376895]"
10,60822,3382,Germaine Marine American Fork,Germaine Marine American Fork,US,UT,855-940-2813,https://germainemarine.com/boats/,1073 South 630 East,AMERICAN FORK,84003,v2_leads_pool3_a_1818@dp360crm.com,,https://images.boatsgroup.com/images/1/upload/GermaineMarineLogo.jpg,"[-111.795765, 40.376895]"
11,428135,,Boat Ranch,Boat Ranch,US,UT,385-285-6222,https://www.truckranch.com,525 E Auto Mall Dr,American Fork,84003,zach@truckranch.com,,,"[-111.795765, 40.376895]"
12,169466,169454,Germaine Marine - UT,Germaine Marine - UT,US,UT,480-655-9055,https://www.germainemarineutah.com,1073 South 630 East,American Fork,84003,marketing@tige.com,,,"[-111.795765, 40.376895]"
